sourceID,timediff,PTAB,PL1,PL2,PL3,PL4,PR1,PR2,PR3,PR4,B1P,B2P,B3P,B4P,B5P,15K,BodyGroup_from,BodyGroup_to
10,0.0,-759550,,,,,,,,,,,,,,,6,7
11,0.0,-759550,,,,,,,,,,,,,,,7,6
4,3.0,-759550,,,,,,,,,,,,,,,7,6
5,7.0,-1040000,,,,,,,,,,,,,,,7,6
6,13.0,-1040000,,,,,,,,,,,,,,,7,6
6,26.0,-1040000,,,,,,,,,,,,,,,7,6
1,71.0,-1040000,,,,,,,,,,,,,,,7,6
1,134.0,-1040000,,,,,,,,,,,,,,,7,6
5,196.0,300,,,,,,,,,,,,,,,7,6
6,199.0,300,,,,,,,,,,,,,,,7,6
6,207.0,300,,,,,,,,,,,,,,,7,6
5,207.0,-3500,,,,,,,,,,,,,,,7,6
6,208.0,-3500,,,,,,,,,,,,,,,7,6
1,225.0,-3500,,,,,,,,,,,,,,,7,6
5,235.00000000000003,400,,,,,,,,,,,,,,,7,6
6,240.00000000000003,400,,,,,,,,,,,,,,,7,6
8,255.00000000000003,400,,,,,,,,,,,,,,,7,6
5,255.00000000000003,-717650,,,,,,,,,,,,,,,7,6
6,260.0,-717650,,,,,,,,,,,,,,,7,6
7,269.0,-717650,,,,,,,,,,,,,,,7,6
13,281.0,-717650,,,,,,,,,,,,,,,7,6
9,282.0,-717650,,,,,,,,,,,,,,,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
0,282.0,-717650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
