sourceID,timediff,PTAB,PL1,PL2,PL3,PL4,PR1,PR2,PR3,PR4,B1P,B2P,B3P,B4P,B5P,15K,BodyGroup_from,BodyGroup_to
10,396.0,-1417050,,,,,,,,,,,,,,,1,1
11,0.0,-1417050,,,,,,,,,,,,,,,1,10
4,14.0,-1417050,,,,,,,,,,,,,,,1,10
5,20.0,-1588150,,,,,,,,,,,,,,,1,10
6,29.000000000000004,-1588150,,,,,,,,,,,,,,,1,10
1,56.0,-1588150,,,,,,,,,,,,,,,1,10
1,57.0,-1588150,,,,,,,,,,,,,,,1,10
6,67.0,-1588150,,,,,,,,,,,,,,,1,10
6,115.0,-1588150,,,,,,,,,,,,,,,1,10
5,115.0,350,,,,,,,,,,,,,,,1,10
6,117.0,350,,,,,,,,,,,,,,,1,10
1,127.0,350,,,,,,,,,,,,,,,1,10
1,130.0,350,,,,,,,,,,,,,,,1,10
1,132.0,350,,,,,,,,,,,,,,,1,10
1,133.0,350,,,,,,,,,,,,,,,1,10
1,146.0,350,,,,,,,,,,,,,,,1,10
1,151.0,350,,,,,,,,,,,,,,,1,10
13,208.0,350,,,,,,,,,,,,,,,1,10
5,208.0,-300,,,,,,,,,,,,,,,1,10
9,208.0,-300,,,,,,,,,,,,,,,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
0,208.0,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
