sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to,PL1,PL2,PL3,PL4,PR1,PR2,PR3,PR4,B1P,B2P,B3P,B4P,B5P,15K
13,0.0,0,7,6,,,,,,,,,,,,,,
10,280.0,0,7,6,,,,,,,,,,,,,,
11,0.0,0,6,6,,,,,,,,,,,,,,
4,12.0,0,6,6,,,,,,,,,,,,,,
5,17.0,-1495050,6,6,,,,,,,,,,,,,,
6,26.0,-1495050,6,6,,,,,,,,,,,,,,
6,32.0,-1495050,6,6,,,,,,,,,,,,,,
6,37.0,-1495050,6,6,,,,,,,,,,,,,,
5,89.0,500,6,6,,,,,,,,,,,,,,
6,90.0,500,6,6,,,,,,,,,,,,,,
6,100.0,500,6,6,,,,,,,,,,,,,,
5,100.0,-650,6,6,,,,,,,,,,,,,,
6,101.0,-650,6,6,,,,,,,,,,,,,,
1,109.0,-650,6,6,,,,,,,,,,,,,,
5,126.0,150,6,6,,,,,,,,,,,,,,
7,133.0,150,6,6,,,,,,,,,,,,,,
6,135.0,150,6,6,,,,,,,,,,,,,,
13,164.0,150,6,6,,,,,,,,,,,,,,
9,164.0,150,6,6,,,,,,,,,,,,,,
14,164.0,150,6,6,,,,,,,,,,,,,,
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,164.0,150,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
